Country,Region,Subregion,Population,Country_rus
Afghanistan,Asia,Southern Asia,34940837,Афганистан
Albania,Europe,Southern Europe,3020209,Албания
Algeria,Africa,Northern Africa,41318142,Алжир
Andorra,Europe,Southern Europe,76177,Андорра
Angola,Africa,Sub-Saharan Africa,29784193,Ангола
Antigua and Barbuda,Americas,Latin America and the Caribbean,102012,Антигуа и Барбуда
Argentina,Americas,Latin America and the Caribbean,44938712,Аргентина
Armenia,Asia,Western Asia,2930450,Армения
Australia,Oceania,Australia and New Zealand,24511800,Австралия
Austria,Europe,Western Europe,8809212,Австрия
Azerbaijan,Asia,Western Asia,10000000,Азербайджан
Bahamas,Americas,Latin America and the Caribbean,385637,Багамские острова
Bahrain,Asia,Western Asia,1492584,Бахрейн
Bangladesh,Asia,Southern Asia,164669751,Бангладеш
Barbados,Americas,Latin America and the Caribbean,285719,Барбадос
Belarus,Europe,Eastern Europe,9408400,Белоруссия
Belgium,Europe,Western Europe,11431406,Бельгия
Belize,Americas,Latin America and the Caribbean,374681,Белиз
Benin,Africa,Sub-Saharan Africa,11175692,Бенин
Bhutan,Asia,Southern Asia,807610,Бутан
Bolivia,Americas,Latin America and the Caribbean,11051600,Боливия
Bosnia and Herzegovina,Europe,Southern Europe,3507017,Босния и Герцеговина
Botswana,Africa,Sub-Saharan Africa,2254068,Ботсвана
Brazil,Americas,Latin America and the Caribbean,210147125,Бразилия
Brunei,Asia,South-eastern Asia,428697,Бруней
Bulgaria,Europe,Eastern Europe,7000039,Болгария
Burkina Faso,Africa,Sub-Saharan Africa,19193382,Буркина-Фасо
Burma,Asia,South-eastern Asia,53582855,Мьянма
Burundi,Africa,Sub-Saharan Africa,11745876,Бурунди
Cabo Verde,Africa,Sub-Saharan Africa,543767,Кабо-Верде
Cambodia,Asia,South-eastern Asia,16005373,Камбоджа
Cameroon,Africa,Sub-Saharan Africa,24053727,Камерун
Canada,Americas,Northern America,35702707,Канада
Central African Republic,Africa,Sub-Saharan Africa,4659080,Центральноафриканская Республика
Chad,Africa,Sub-Saharan Africa,15477751,Чад
Chile,Americas,Latin America and the Caribbean,18054726,Чили
China,Asia,Eastern Asia,1427647786,Китай
Colombia,Americas,Latin America and the Caribbean,49065615,Колумбия
Congo (Brazzaville),Africa,Sub-Saharan Africa,5244359,Республика Конго
Congo (Kinshasa),Africa,Sub-Saharan Africa,11855000,Киншаса
Costa Rica,Americas,Latin America and the Caribbean,4905769,Коста-Рика
Cote d'Ivoire,Africa,Sub-Saharan Africa,23740424,Кот-д’Ивуар
Croatia,Europe,Southern Europe,4105493,Хорватия
Cuba,Americas,Latin America and the Caribbean,11484636,Куба
Cyprus,Asia,Western Asia,1189265,Кипр
Czechia,Europe,Eastern Europe,10649800,Чехия
Denmark,Europe,Northern Europe,5827463,Дания
Diamond Princess,Cruise ships,Cruise Ships,3711,Diamond Princess
Djibouti,Africa,Sub-Saharan Africa,956985,Джибути
Dominica,Americas,Latin America and the Caribbean,73925,Доминика
Dominican Republic,Americas,Latin America and the Caribbean,10403761,Доминиканская Республика
Ecuador,Americas,Latin America and the Caribbean,16624858,Эквадор
Egypt,Africa,Northern Africa,94798827,Египет
El Salvador,Americas,Latin America and the Caribbean,6420746,Сальвадор
Equatorial Guinea,Africa,Sub-Saharan Africa,1267689,Экваториальная Гвинея
Eritrea,Africa,Sub-Saharan Africa,3497000,Эритрея
Estonia,Europe,Northern Europe,1324820,Эстония
Eswatini,Africa,Sub-Saharan Africa,1367254,Эсватини
Ethiopia,Africa,Sub-Saharan Africa,104957438,Эфиопия
Fiji,Oceania,Melanesia,905502,Фиджи
Finland,Europe,Northern Europe,5501043,Финляндия
France,Europe,Western Europe,66628000,Франция
Gabon,Africa,Sub-Saharan Africa,2025137,Габон
Gambia,Africa,Sub-Saharan Africa,2051363,Гамбия
Georgia,Asia,Western Asia,3717100,Грузия
Germany,Europe,Western Europe,83149300,Германия
Ghana,Africa,Sub-Saharan Africa,26908262,Гана
Greece,Europe,Southern Europe,10760421,Греция
Grenada,Americas,Latin America and the Caribbean,107825,Гренада
Guatemala,Americas,Latin America and the Caribbean,17263239,Гватемала
Guinea,Africa,Sub-Saharan Africa,12717176,Гвинея
Guinea-Bissau,Africa,Sub-Saharan Africa,1861283,Гвинея-Бисау
Guyana,Americas,Latin America and the Caribbean,777859,Гайана
Haiti,Americas,Latin America and the Caribbean,10981229,Республика Гаити
Holy See,Europe,Southern Europe,801,Святой Престол
Honduras,Americas,Latin America and the Caribbean,9265067,Гондурас
Hungary,Europe,Eastern Europe,9772756,Венгрия
Iceland,Europe,Northern Europe,357050,Исландия
India,Asia,Southern Asia,1349217956,Индия
Indonesia,Asia,South-eastern Asia,263991379,Индонезия
Iran,Asia,Southern Asia,79966230,Иран
Iraq,Asia,Western Asia,38274618,Ирак
Ireland,Europe,Northern Europe,4761865,Ирландия
Israel,Asia,Western Asia,9093000,Израиль
Italy,Europe,Southern Europe,60317000,Италия
Jamaica,Americas,Latin America and the Caribbean,2890299,Ямайка
Japan,Asia,Eastern Asia,126785797,Япония
Jordan,Asia,Western Asia,10428241,Иордания
Kazakhstan,Asia,Central Asia,18276500,Казахстан
Kenya,Africa,Sub-Saharan Africa,48468138,Кения
"Korea, South",Asia,Eastern Asia,51709098,Южная Корея
Kosovo,Europe,Southern Europe,1810463,Косово
Kuwait,Asia,Western Asia,4600000,Кувейт
Kyrgyzstan,Asia,Central Asia,6201500,Киргизия
Laos,Asia,South-eastern Asia,6858160,Лаос
Latvia,Europe,Northern Europe,1909000,Латвия
Lebanon,Asia,Western Asia,6100075,Ливан
Liberia,Africa,Sub-Saharan Africa,4731906,Либерия
Libya,Africa,Northern Africa,6678567,Ливия
Liechtenstein,Europe,Western Europe,37922,Лихтенштейн
Lithuania,Europe,Northern Europe,2790842,Литва
Luxembourg,Europe,Western Europe,626108,Люксембург
MS Zaandam,Cruise ships,Cruise Ships,1829,MS Zaandam
Madagascar,Africa,Sub-Saharan Africa,25570895,Мадагаскар
Malawi,Africa,Sub-Saharan Africa,18143217,Малави
Malaysia,Asia,South-eastern Asia,31624264,Малайзия
Maldives,Asia,Southern Asia,436330,Мальдивы
Mali,Africa,Sub-Saharan Africa,18541980,Мали
Malta,Europe,Southern Europe,465292,Мальта
Mauritania,Africa,Sub-Saharan Africa,4420184,Мавритания
Mauritius,Africa,Sub-Saharan Africa,1264613,Маврикий
Mexico,Americas,Latin America and the Caribbean,130526945,Мексика
Moldova,Europe,Eastern Europe,2550900,Молдавия
Monaco,Europe,Western Europe,38695,Монако
Mongolia,Asia,Eastern Asia,3075647,Монголия
Montenegro,Europe,Southern Europe,622359,Черногория
Morocco,Africa,Northern Africa,36029138,Марокко
Mozambique,Africa,Sub-Saharan Africa,29668834,Мозамбик
Namibia,Africa,Sub-Saharan Africa,2533794,Намибия
Nepal,Asia,Southern Asia,29400000,Непал
Netherlands,Europe,Western Europe,17424978,Нидерланды
New Zealand,Oceania,Australia and New Zealand,4942500,Новая Зеландия
Nicaragua,Americas,Latin America and the Caribbean,6217581,Никарагуа
Niger,Africa,Sub-Saharan Africa,21477348,Нигер
Nigeria,Africa,Sub-Saharan Africa,190886311,Нигерия
North Macedonia,Europe,Southern Europe,2075301,Северная Македония
Norway,Europe,Northern Europe,5367580,Норвегия
Oman,Asia,Western Asia,4829480,Оман
Pakistan,Asia,Southern Asia,197015955,Пакистан
Panama,Americas,Latin America and the Caribbean,4098587,Панама
Papua New Guinea,Oceania,Melanesia,8251162,Папуа — Новая Гвинея
Paraguay,Americas,Latin America and the Caribbean,6811297,Парагвай
Peru,Americas,Latin America and the Caribbean,29381884,Перу
Philippines,Asia,South-eastern Asia,104918090,Филиппины
Poland,Europe,Eastern Europe,38433600,Польша
Portugal,Europe,Southern Europe,10600000,Португалия
